Year,Production,Consumption
1960,10590206,9830513
1961,10239471,9618013
1962,10670680,9904585
1963,11605467,10414512
1964,12273824,10967543
1965,12831858,11582398
1966,13281168,12145291
1967,13697146,11917043
1968,13486770,12337535
1969,13832984,12383168
1970,14877023,12268895
1971,13517653,11603202
1972,14391826,12109530
1973,14006108,12960121
1974,14025005,12651009
1975,14981863,12655613
1976,15689495,13575890
1977,15759938,13907111
1978,14979104,13769684
1979,17617676,15041652
1980,18629602,15460982
1981,18523580,15937724
1982,18826604,15269049
1983,17364160,15867060
1984,19914476,17013578
1985,19514304,17540071
1986,19676150,17240884
1987,20295490,17949877
1988,20949128,18885663
1989,21517324,19055165
1990,22761184,19167682
1991,21869054,18989140
1992,21897732,19117802
1993,20358442,19836126
1994,22345526,19903559
1995,22178768,20098843
1996,22839408,21002157
1997,23412530,21443603
1998,23917422,21583324
1999,23177242,21582103
2000,22595116,22575538
2001,23587924,21906355
2002,22729814,21902852
2003,22054836,22322634
2004,22821746,22464302
2005,23183084,22793450
2006,23643934,22444214
2007,23337320,22747914
2008,23706398,22382816
2009,21689784,19691342
2010,21831301,20828382
2011,22057248,19663856
2012,20585320,17380924
2013,19901802,18038772
2014,20170836,17996576
2015,17931020,15548985
2016,14538027,14227138
2017,15549225,13839632
2018,15280478,13249958
2019,14290746,11314925
2020,10723138,9182696
2021,11642632,10548957
2022,11973477,9885694
2023,11766453,8169673
2024,10541769,7910833
